platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,,100,1.0,100,,,2,,856eb70f-1272-4b9f-a2bd-4f8ef97c042c,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,3682s3EpM7nH3CVc4HHd,17.9250717,2026-02-25 19:31:28.741000+00:00
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,3IdiIQAOhViyKFRHHhuH,47.3469772,2026-02-25 05:38:00.411000+00:00
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,3aF0oUTuwHkeiLuoj8Ph,25.6650219,2026-02-26 03:31:09.036000+00:00
WebGLPlayer,0.0,17,1.2,14,6.0,1773280650.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3dD1J5QmDcP6sbDtJuP9,,
WebGLPlayer,,100,1.0,100,,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4dLXUMvSxXZ4Bd8TNaRS,2.68299866,2026-02-26 07:12:48.820000+00:00
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4hM7109JtljfF7pnytyZ,28.6973038,2026-02-25 05:51:55.978000+00:00
WebGLPlayer,0.0,100,1.2,100,3.0,1773851302.0,1,1.0,835cc004-e460-4809-9d0d-4e5eb18def5c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,4jqGZyHxqVWHxS6yQ7ZB,,
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,54crEpvZp5wB3MNt5LjJ,77.41006,2026-02-26 04:07:34.884000+00:00
WebGLPlayer,,100,1.0,100,,,1,,c896b358-4b46-4219-9b4f-e9cd038beb70,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5AerxUmV6KcAZDPmTafz,22.0181484,2026-02-25 01:27:01.894000+00:00
WebGLPlayer,,100,1.0,100,,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5DnmisbM5CJzU3YwRTpg,64.54801,2026-02-25 05:39:39.873000+00:00
